"Extensions","Rozszerzenia"
"Dashboard","Dashboard"
"Changes have been made to this section that have not been saved.","Wprowadzono zmiany do tej sekcji, które nie zostały zapisane."
"This tab contains invalid data. Please resolve this before saving.","Ta karta zawiera nieprawidłowe dane. Proszę rozwiązać ten problem przed zapisem."
"Installed","Zainstalowane"
"Resources & Support","Zasoby i wsparcie"
"User Documentation","Dokumentacja użytkownika"
"Contact Support","Kontakt z pomocą techniczną"
"Upgrade","Aktualizacja"
"Not Installed","Niezainstalowane"
"Connect your Adobe Commerce (Magento) store with global Amazon marketplaces. Automate listings, inventory synchronization, and order management for efficient multichannel selling.","Połącz swój sklep Adobe Commerce (Magento) z globalnymi marketplace'ami Amazon. Automatyzuj ofert, synchronizację zapasów i zarządzanie zamówieniami dla efektywnej sprzedaży wielokanałowej."
"Key Features","Kluczowe cechy"
"Automated listings","Zautomatyzowane oferty"
"List and update products on Amazon from your Magento system.","Lista i aktualizacja produktów na Amazon z waszego systemu Magento."
"Real-time inventory sync","Synchronizacja zapasów w czasie rzeczywistym"
"Prevent overselling with automatic stock updates.","Zapobiegaj nadmiernej sprzedaży dzięki automatycznym aktualizacjom stanów magazynowych."
"Centralized order management","Scentralizowane zarządzanie zamówieniami"
"Handle Amazon orders directly in Magento.","Obsługuj zamówienia Amazon bezpośrednio w Magento."
"Fulfillment by Amazon (FBA) support","Obsługa Realizacji zamówień przez Amazon (FBA)"
"Synchronize FBA stock and orders with Magento.","Synchronizuj stany magazynowe FBA i zamówienia z Magento."
"Amazon Business integration","Integracja z Amazon Business"
"Access B2B features like special pricing and quantity discounts.","Uzyskaj dostęp do funkcji B2B, takich jak specjalne ceny i rabaty ilościowe."
"Dynamic repricing tool","Narzędzie do dynamicznej zmiany cen"
"Automatically adjust prices to stay competitive and win the Buy Box.","Automatycznie dostosowuj ceny, aby pozostać konkurencyjnym i wygrać Buy Box."
"Install","Instalowanie"
"View Installation Steps","Zobacz kroki instalacji"
"Connect your Adobe Commerce (Magento) store with global eBay marketplaces, including eBay Motors. Automate listings, inventory sync, and order management for a smooth multichannel selling experience.","Połącz swój sklep Adobe Commerce (Magento) z globalnymi rynkami eBay, w tym eBay Motors. Automatyzuj oferty, synchronizację stanów magazynowych i zarządzanie zamówieniami, aby zapewnić płynne doświadczenie sprzedaży wielokanałowej."
"List and update products on eBay from your Magento system.","Lista i aktualizacja produktów na eBay z waszego systemu Magento."
"Handle eBay orders directly in Magento.","Obsługuj zamówienia eBay bezpośrednio w Magento."
"Flexible stock & pricing rules","Elastyczne zasady dotyczące zapasów i cen"
"Adjust quantities and prices dynamically per marketplace.","Dynamiczne dostosowywanie ilości i cen w zależności od marketplace."
"eBay Motors compatibility","Kompatybilność z eBay Motors"
"List auto parts with the Parts Compatibility feature.","Lista części samochodowych z funkcją zgodności części."
"Promotional tools","Narzędzia promocyjne"
"Apply and manage eBay promotions for your listings.","Stosuj i zarządzaj promocjami eBay dla swoich ofert."
"Connect your Adobe Commerce (Magento) store with Kaufland's online marketplace in Europe, reaching 30+ million monthly visitors.","Połącz swój sklep Adobe Commerce (Magento) z internetowym marketplace Kaufland w Europie, docierając do ponad 30 milionów odwiedzających miesięcznie."
"Automated product mapping","Automatyczne mapowanie produktów"
"Link your existing Kaufland listings with Magento products.","Połącz istniejące oferty Kaufland Listing z produktami Magento."
"Easy product listing","Łatwa lista produktów"
"List and update products on Kaufland from your Magento system.","Lista i aktualizacja produktów na Kaufland z waszego systemu Magento."
"Real-time inventory synchronization","Synchronizacja zapasów w czasie rzeczywistym"
"Automatically update stock levels to prevent overselling.","Automatycznie aktualizuj poziomy zapasów, aby zapobiec nadmiernej sprzedaży."
"Handle Kaufland orders directly within Magento.","Obsługuj zamówienia Kaufland bezpośrednio w Magento."
"Adjust product quantities and prices dynamically for Kaufland.","Dynamiczne dostosowywanie ilości i cen produktów dla Kaufland."
"Connect your Adobe Commerce (Magento) store with OnBuy, Europe’s rapidly growing marketplace and reach over 5 million monthly visitors.","Połącz swój sklep Adobe Commerce (Magento) z OnBuy, szybko rozwijającym się europejskim rynkiem, i dotrzyj do ponad 5 milionów odwiedzających miesięcznie."
"Link your existing OnBuy listings with Magento products.","Połącz istniejące oferty OnBuy Listing z produktami Magento."
"List and update products on OnBuy from your Magento system.","Lista i aktualizacja produktów na OnBuy z waszego systemu Magento."
"Handle OnBuy orders directly within Magento.","Obsługuj zamówienia OnBuy bezpośrednio w Magento."
"Adjust product quantities and prices dynamically for OnBuy.","Dynamiczne dostosowywanie ilości i cen produktów dla OnBuy."
"Connect your Adobe Commerce (Magento) store with OTTO Market, one of Germany’s leading online retailers with over 60 million monthly visitors.","Połącz swój sklep Adobe Commerce (Magento) z OTTO Market, jednym z czołowych niemieckich sprzedawców online, z ponad 60 milionami odwiedzających miesięcznie."
"Link your existing OTTO listings with Magento products.","Połącz istniejące oferty OTTO Listing z produktami Magento."
"List and update products on OTTO from your Magento system.","Lista i aktualizacja produktów na OTTO z waszego systemu Magento."
"Handle OTTO orders directly within Magento.","Obsługuj zamówienia OTTO bezpośrednio w Magento."
"Adjust product quantities and prices dynamically for OTTO.","Dynamiczne dostosowywanie ilości i cen produktów dla OTTO."
"Connect your Adobe Commerce (Magento) store with TikTok Shop and reach a vast audience in multiple countries across the globe.","Połącz swój sklep Adobe Commerce (Magento) z TikTok Shop i dotrzyj do szerokiej publiczności w wielu krajach na całym świecie."
"Quickly list and categorize products from Magento on TikTok Shop.","Szybko wystawiaj i kategoryzuj produkty z Magento na TikTok Shop."
"Handle TikTok Shop orders directly within Magento.","Obsługuj zamówienia TikTok Shop bezpośrednio w Magento."
"Adjust product quantities and prices dynamically for TikTok Shop.","Dynamiczne dostosowywanie ilości i cen produktów dla TikTok Shop."
"Manage items with TikTok Shop promotions applied.","Zarządzaj pozycjami z zastosowanymi promocjami TikTok Shop."
"Connect your Adobe Commerce (Magento) store with Walmart U.S. and Canadian marketplaces, reaching over 120 million online shoppers monthly.","Połącz swój sklep Adobe Commerce (Magento) z rynkami Walmart w USA i Kanadzie, docierając do ponad 120 milionów kupujących online miesięcznie."
"Link your Magento products to Walmart's catalog.","Połącz swoje produkty Magento z Katalogiem Walmart."
"Handle Walmart orders directly within Magento.","Obsługuj zamówienia Walmart bezpośrednio w Magento."
"Walmart Fulfillment Services (WFS) support","Obsługa Walmart Fulfillment Services (WFS)"
"Integrate and manage WFS orders.","Integracja i zarządzanie zamówieniami WFS."
"Unique SKU generation","Generowanie unikalnych SKU"
"Prevent duplicate SKUs and data inaccuracies.","Zapobiegaj duplikacji SKU i nieścisłościom danych."
"Use 'Clearance' and 'Reduced Price' badges to boost sales.","Używaj oznaczeń 'Wyprzedaż' i 'Obniżona cena', aby zwiększyć sprzedaż."
"Custom shipping options","Niestandardowe opcje wysyłki"
"Offer various shipping carriers and create smart shipping rules.","Oferuj różnych przewoźników i twórz inteligentne zasady wysyłki."
"Connect your Adobe Commerce (Magento) store with Temu, one of the fastest-growing marketplaces with 100M+ shoppers.","Połącz swój sklep Adobe Commerce (Magento) z Temu, jednym z najszybciej rozwijających się marketplace'ów z 100M+ kupujących."
"Quickly list and categorize products from Magento on Temu.","Szybko wystawiaj i kategoryzuj produkty z Magento na Temu."
"Handle Temu orders directly within Magento.","Obsługuj zamówienia Temu bezpośrednio w Magento."
"Adjust product quantities and prices dynamically for Temu.","Dynamiczne dostosowywanie ilości i cen produktów dla Temu."
"If you're selling in the US, take advantage of our exclusive offer.","Jeśli sprzedajesz w USA, skorzystaj z naszej wyjątkowej oferty."
"Start selling on Temu","Rozpocznij sprzedaż na Temu"
"with M2E and get a 90-day free trial for M2E Connect extension.","z M2E i uzyskaj 90-dniowy bezpłatny okres próbny rozszerzenia M2E Connect."
