"Extensions","Extensões"
"Dashboard","Painel de controlo"
"Changes have been made to this section that have not been saved.","Foram feitas modificações a esta secção que não foram gravadas."
"This tab contains invalid data. Please resolve this before saving.","Este separador contém dados inválidos. Por favor corrija esta informação antes de gravar."
"Installed","Instalado"
"Resources & Support","Recursos e suporte"
"User Documentation","Documentação do Utilizador"
"Contact Support","Contactar Apoio Técnico"
"Upgrade","Atualização"
"Not Installed","Não Instalado"
"Connect your Adobe Commerce (Magento) store with global Amazon marketplaces. Automate listings, inventory synchronization, and order management for efficient multichannel selling.","Conecte sua loja do Adobe Commerce (Magento) aos mercados globais da Amazon. Automatize as listagens, a sincronização de inventário e o gerenciamento de pedidos para uma venda multicanal eficiente."
"Key Features","Características Principais"
"Automated listings","Listagens automáticas"
"List and update products on Amazon from your Magento system.","Liste e actualize produtos na Amazon a partir do seu sistema Magento."
"Real-time inventory sync","Sincronização de inventário em tempo real"
"Prevent overselling with automatic stock updates.","Evitar o excesso de vendas com actualizações automáticas de stock."
"Centralized order management","Gestão centralizada de pedidos"
"Handle Amazon orders directly in Magento.","Tratar os pedidos da Amazon diretamente no Magento."
"Fulfillment by Amazon (FBA) support","Apoio à Logística da Amazon (FBA)"
"Synchronize FBA stock and orders with Magento.","Sincronizar o stock e os pedidos do FBA com o Magento."
"Amazon Business integration","Integração da Amazon Business"
"Access B2B features like special pricing and quantity discounts.","Aceder a funcionalidades B2B como preços especiais e descontos por quantidade."
"Dynamic repricing tool","Ferramenta de reavaliação dinâmica de preços"
"Automatically adjust prices to stay competitive and win the Buy Box.","Ajustar automaticamente os preços para se manter competitivo e ganhar a Buy Box."
"Install","Instalar"
"View Installation Steps","Ver passos de instalação"
"Connect your Adobe Commerce (Magento) store with global eBay marketplaces, including eBay Motors. Automate listings, inventory sync, and order management for a smooth multichannel selling experience.","Conecte sua loja Adobe Commerce (Magento) aos mercados globais do eBay, incluindo o eBay Motors. Automatize as listagens, a sincronização de inventário e o gerenciamento de pedidos para uma experiência de venda multicanal tranqüila."
"List and update products on eBay from your Magento system.","Liste e actualize produtos no eBay a partir do seu sistema Magento."
"Handle eBay orders directly in Magento.","Tratar os pedidos da eBay diretamente no Magento."
"Flexible stock & pricing rules","Regras flexíveis em matéria de existências e preços"
"Adjust quantities and prices dynamically per marketplace.","Ajuste as quantidades e os preços de forma dinâmica por mercado."
"eBay Motors compatibility","Compatibilidade com o eBay Motors"
"List auto parts with the Parts Compatibility feature.","Listar peças de automóvel com a funcionalidade Compatibilidade de peças."
"Promotional tools","Ferramentas promocionais"
"Apply and manage eBay promotions for your listings.","Aplicar e gerir as promoções do eBay para as suas listagens."
"Connect your Adobe Commerce (Magento) store with Kaufland's online marketplace in Europe, reaching 30+ million monthly visitors.","Ligue a sua loja Adobe Commerce (Magento) ao mercado em linha da Kaufland na Europa, que conta com mais de 30+ milhões de visitantes mensais."
"Automated product mapping","Mapeamento automatizado de produtos"
"Link your existing Kaufland listings with Magento products.","Ligue as suas listagens existentes da Kaufland aos produtos Magento."
"Easy product listing","Listagem fácil de produtos"
"List and update products on Kaufland from your Magento system.","Liste e actualize os produtos na Kaufland a partir do seu sistema Magento."
"Real-time inventory synchronization","Sincronização de inventário em tempo real"
"Automatically update stock levels to prevent overselling.","Atualizar automaticamente os níveis de stock para evitar o excesso de vendas."
"Handle Kaufland orders directly within Magento.","Tratar os pedidos da Kaufland diretamente no Magento."
"Adjust product quantities and prices dynamically for Kaufland.","Ajustar as quantidades e os preços dos produtos de forma dinâmica para a Kaufland."
"Connect your Adobe Commerce (Magento) store with OnBuy, Europe’s rapidly growing marketplace and reach over 5 million monthly visitors.","Ligue a sua loja Adobe Commerce (Magento) ao OnBuy, o mercado europeu em rápido crescimento, e alcance mais de 5 milhões de visitantes mensais."
"Link your existing OnBuy listings with Magento products.","Ligue as suas listagens OnBuy existentes aos produtos Magento."
"List and update products on OnBuy from your Magento system.","Listar e atualizar produtos no OnBuy a partir do seu sistema Magento."
"Handle OnBuy orders directly within Magento.","Tratar os pedidos OnBuy diretamente no Magento."
"Adjust product quantities and prices dynamically for OnBuy.","Ajustar as quantidades e os preços dos produtos de forma dinâmica para a OnBuy."
"Connect your Adobe Commerce (Magento) store with OTTO Market, one of Germany’s leading online retailers with over 60 million monthly visitors.","Ligue a sua loja Adobe Commerce (Magento) ao OTTO Market, um dos principais retalhistas em linha da Alemanha, com mais de 60 milhões de visitantes mensais."
"Link your existing OTTO listings with Magento products.","Ligue as suas listagens OTTO existentes aos produtos Magento."
"List and update products on OTTO from your Magento system.","Listar e atualizar produtos no OTTO a partir do seu sistema Magento."
"Handle OTTO orders directly within Magento.","Tratar os pedidos OTTO diretamente no Magento."
"Adjust product quantities and prices dynamically for OTTO.","Ajustar as quantidades e os preços dos produtos de forma dinâmica para a OTTO."
"Connect your Adobe Commerce (Magento) store with TikTok Shop and reach a vast audience in multiple countries across the globe.","Ligue a sua loja Adobe Commerce (Magento) à TikTok Shop e alcance um vasto público em vários países em todo o mundo."
"Quickly list and categorize products from Magento on TikTok Shop.","Liste e categorize rapidamente os produtos do Magento no TikTok Shop."
"Handle TikTok Shop orders directly within Magento.","Tratar os pedidos TikTok Shop diretamente no Magento."
"Adjust product quantities and prices dynamically for TikTok Shop.","Ajustar as quantidades e os preços dos produtos de forma dinâmica para a TikTok Shop."
"Manage items with TikTok Shop promotions applied.","Gerir itens com promoções da TikTok Shop aplicadas."
"Connect your Adobe Commerce (Magento) store with Walmart U.S. and Canadian marketplaces, reaching over 120 million online shoppers monthly.","Ligue a sua loja Adobe Commerce (Magento) aos mercados da Walmart dos EUA e do Canadá, que chegam a mais de 120 milhões de compradores online por mês."
"Link your Magento products to Walmart's catalog.","Ligue os seus produtos Magento ao Catálogo da Walmart."
"Handle Walmart orders directly within Magento.","Tratar os pedidos da Walmart diretamente no Magento."
"Walmart Fulfillment Services (WFS) support","Suporte do Walmart Fulfillment Services (WFS)"
"Integrate and manage WFS orders.","Integrar e gerir os pedidos de WFS."
"Unique SKU generation","Geração de SKU única"
"Prevent duplicate SKUs and data inaccuracies.","Evitar SKUs duplicadas e imprecisões de dados."
"Use 'Clearance' and 'Reduced Price' badges to boost sales.","Utilize os emblemas 'Liquidação' e 'Preço reduzido' para aumentar as vendas."
"Custom shipping options","Opções de envio personalizadas"
"Offer various shipping carriers and create smart shipping rules.","Ofereça várias transportadoras e crie regras de envio inteligentes."
"Connect your Adobe Commerce (Magento) store with Temu, one of the fastest-growing marketplaces with 100M+ shoppers.","Ligue a sua loja Adobe Commerce (Magento) ao Temu, um dos mercados de crescimento mais rápido com mais de 100M+ de compradores."
"Quickly list and categorize products from Magento on Temu.","Liste e categorize rapidamente os produtos do Magento no Temu."
"Handle Temu orders directly within Magento.","Tratar os pedidos Temu diretamente no Magento."
"Adjust product quantities and prices dynamically for Temu.","Ajustar as quantidades e os preços dos produtos de forma dinâmica para a Temu."
"If you're selling in the US, take advantage of our exclusive offer.","Se está a vender nos EUA, aproveite a nossa oferta exclusiva."
"Start selling on Temu","Começar a vender em Temu"
"with M2E and get a 90-day free trial for M2E Connect extension.","com o M2E e obtenha uma avaliação gratuita de 90 dias da extensão M2E Connect."
